SalesID,InventoryID,QuantitySold,SalesDate,Price
SAL00157,INV13848,68,2023-03-29,209.11
SAL00158,INV03407,49,2023-01-12,94.94
SAL00159,INV09073,79,2022-03-26,414.16
SAL00160,INV07461,3,2021-10-11,114.21
SAL00161,INV10665,55,2023-11-10,73.42
SAL00162,INV11215,31,2023-10-08,63.49
SAL00163,INV08492,45,2021-07-06,71.2
SAL00164,INV00595,10,2025-03-28,36.07
SAL00165,INV03287,58,2021-04-07,37.77
SAL00166,INV12970,7,2025-10-30,434.72
SAL00167,INV07023,60,2021-08-13,89.18
SAL00168,INV06591,82,2021-11-10,104.99
SAL00169,INV00048,13,2024-07-09,284.37
SAL00170,INV05896,80,2021-11-24,356.5
SAL00171,INV11336,55,2025-06-11,249.67
SAL00172,INV05269,82,2024-10-25,118.61
SAL00173,INV00072,29,2023-05-15,42.96
SAL00174,INV02128,77,2024-05-06,354.93
SAL00175,INV06327,43,2021-05-11,402.08
SAL00176,INV00353,71,2023-02-28,419.6
SAL00177,INV07968,80,2023-02-21,389.46
SAL00178,INV14015,66,2024-05-05,292.91
SAL00179,INV13866,48,2023-08-17,414.49
SAL00180,INV05317,97,2023-12-20,164.33
SAL00181,INV07942,87,2022-05-30,39.71
SAL00182,INV08533,40,2024-02-08,279.98
SAL00183,INV05032,78,2025-10-29,303.69
SAL00184,INV10247,36,2021-01-24,416.88
SAL00185,INV14219,62,2024-10-25,46.63
SAL00186,INV05286,17,2025-01-16,185.45
SAL00187,INV05785,58,2021-08-23,172.17
SAL00188,INV10941,26,2024-10-28,378.03
SAL00189,INV03961,21,2025-12-18,279.77
SAL00190,INV03160,1,2024-01-05,96.48
SAL00191,INV09416,38,2025-03-18,354.85
SAL00192,INV09801,44,2022-07-01,134.33
SAL00193,INV12721,58,2025-04-24,96.43
SAL00194,INV04706,56,2024-08-05,41.94
SAL00195,INV01307,8,2022-11-28,217.24
SAL00196,INV07168,9,2021-08-17,394.53
SAL00197,INV08330,61,2022-08-25,487.22
SAL00198,INV06462,42,2023-06-10,316.89
SAL00199,INV05722,14,2021-11-20,455.31
SAL00200,INV04869,94,2023-07-19,456.28
SAL00201,INV08810,85,2021-01-07,161.15
SAL00202,INV03869,27,2025-01-18,266.41
SAL00203,INV03236,17,2025-11-29,333.26
SAL00204,INV14193,91,2025-01-13,277.53
SAL00205,INV04371,94,2022-06-24,371.91
SAL00206,INV08306,60,2023-10-23,275.43
SAL00207,INV01071,85,2025-04-10,275.2
SAL00208,INV01611,71,2022-01-01,437.74
SAL00209,INV02970,26,2023-11-06,257.55
SAL00210,INV07308,56,2021-08-06,35.95
SAL00211,INV13777,68,2025-11-18,298.57
SAL00212,INV10373,8,2024-07-04,14.58
SAL00213,INV10607,7,2022-09-04,484.36
SAL00214,INV10279,18,2025-09-20,220.61
SAL00215,INV10802,66,2024-08-01,157.42
SAL00216,INV14693,99,2023-11-06,278.32
SAL00217,INV02329,4,2024-06-01,390.38
SAL00218,INV09067,12,2022-02-12,381.87
SAL00219,INV08371,53,2021-11-10,30.85
SAL00220,INV13983,24,2023-02-05,136.79
SAL00221,INV06656,83,2025-04-11,216.98
SAL00222,INV14259,28,2021-11-27,455.46
SAL00223,INV08735,48,2024-01-10,394.05
SAL00224,INV04521,7,2025-05-14,306.73
SAL00225,INV09488,78,2023-12-23,406.31
SAL00226,INV01031,86,2021-01-02,407.4
SAL00227,INV04944,76,2024-05-11,408.15
SAL00228,INV11687,71,2022-10-26,103.82
SAL00229,INV01480,65,2023-09-28,307.34
SAL00230,INV14261,1,2021-02-09,152.66
SAL00231,INV06628,22,2021-08-18,484.0
SAL00232,INV11967,77,2023-01-14,287.39
SAL00233,INV08824,24,2025-12-05,211.7
SAL00234,INV11601,2,2025-08-31,463.75
SAL00235,INV05071,14,2025-07-11,80.13
SAL00236,INV08991,15,2022-09-22,416.63
SAL00237,INV05078,85,2022-05-06,387.37
SAL00238,INV00745,63,2021-04-29,264.95
SAL00239,INV07595,59,2022-05-09,486.79
SAL00240,INV02083,89,2025-12-04,251.06
SAL00241,INV03836,62,2024-03-07,40.18
SAL00242,INV10231,78,2021-06-11,268.8
SAL00243,INV07674,30,2021-06-25,142.28
SAL00244,INV05981,52,2025-02-07,223.25
SAL00245,INV07008,23,2023-09-23,432.24
SAL00246,INV08858,27,2025-07-30,259.11
SAL00247,INV09200,21,2021-05-22,475.12
SAL00248,INV07398,29,2025-04-07,327.79
SAL00249,INV14892,43,2023-12-27,14.75
SAL00250,INV10587,9,2025-04-18,36.34
SAL00251,INV09288,79,2021-09-15,372.64
SAL00252,INV05814,90,2021-09-20,255.21
SAL00253,INV13080,7,2024-09-13,122.74
SAL00254,INV09996,14,2023-09-01,492.74
SAL00255,INV08215,63,2024-01-31,318.79
SAL00256,INV03861,45,2021-12-05,68.01
SAL00257,INV00775,75,2022-06-27,120.02
SAL00258,INV08458,60,2023-12-17,81.48
SAL00259,INV05393,81,2025-11-22,279.38
SAL00260,INV02061,45,2024-05-27,341.53
SAL00261,INV13749,57,2023-05-17,122.96
SAL00262,INV02842,40,2022-03-10,467.2
SAL00263,INV06905,97,2024-01-10,139.79
SAL00264,INV01263,4,2025-03-27,26.42
SAL00265,INV03158,19,2025-02-03,45.11
SAL00266,INV07053,1,2024-11-13,422.02
SAL00267,INV06799,80,2022-02-16,153.26
SAL00268,INV05910,82,2024-12-31,305.91
SAL00269,INV13371,11,2022-10-01,391.86
SAL00270,INV00978,1,2023-03-29,301.4
SAL00271,INV06017,59,2024-10-07,394.56
SAL00272,INV08864,7,2024-08-23,158.4
SAL00273,INV08343,47,2023-02-04,83.09
SAL00274,INV01629,24,2023-06-17,42.13
SAL00275,INV11643,75,2023-11-26,332.87
SAL00276,INV12822,12,2023-07-14,142.22
SAL00277,INV08386,84,2021-09-05,264.76
SAL00278,INV03672,17,2022-05-23,308.64
SAL00279,INV13122,47,2022-04-06,100.83
SAL00280,INV00682,34,2021-05-12,49.27
SAL00281,INV13656,58,2022-11-24,496.52
SAL00282,INV13893,73,2021-02-13,472.49
SAL00283,INV04736,73,2024-04-19,478.2
SAL00284,INV00341,54,2024-02-09,452.98
SAL00285,INV03077,1,2022-04-17,319.09
SAL00286,INV12972,3,2024-04-20,26.29
SAL00287,INV00988,46,2022-03-28,54.42
SAL00288,INV00028,86,2021-01-15,253.11
SAL00289,INV05608,51,2021-05-26,115.48
SAL00290,INV13479,3,2024-12-20,190.16
SAL00291,INV06619,32,2024-07-16,491.39
SAL00292,INV02990,11,2021-05-01,40.32
SAL00293,INV00473,24,2022-04-14,20.78
SAL00294,INV13814,12,2021-05-19,337.15
SAL00295,INV06379,46,2021-03-06,494.03
SAL00296,INV12017,26,2025-10-27,330.32
SAL00297,INV11838,84,2022-11-08,177.38
SAL00298,INV13322,88,2021-05-26,449.83
SAL00299,INV10957,61,2023-11-19,477.77
SAL00300,INV09383,34,2022-05-03,112.55
SAL00301,INV12033,1,2022-07-25,365.76
SAL00302,INV06121,96,2024-10-02,216.5
SAL00303,INV14902,42,2023-09-22,278.14
SAL00304,INV04929,85,2022-03-15,396.72
SAL00305,INV01943,97,2024-01-10,453.73
SAL00306,INV06930,93,2021-09-28,370.03
SAL00307,INV14076,23,2025-01-21,378.53
SAL00308,INV09306,52,2025-12-13,387.82
SAL00309,INV11993,53,2024-03-15,410.9
SAL00310,INV08804,24,2024-03-26,493.11
SAL00311,INV07622,14,2023-08-27,93.22
SAL00312,INV03859,2,2022-05-13,299.35
SAL00313,INV13484,98,2025-05-26,25.34
SAL00314,INV03877,52,2023-08-27,38.16
SAL00315,INV07850,81,2025-07-12,307.05
SAL00316,INV11189,68,2023-04-14,318.53
SAL00317,INV14251,96,2022-01-25,331.26
SAL00318,INV14053,80,2021-07-13,363.99
SAL00319,INV06237,43,2021-07-18,22.44
SAL00320,INV03665,98,2024-09-11,351.67
SAL00321,INV03810,79,2023-06-02,243.56
SAL00322,INV12781,98,2022-12-27,394.75
SAL00323,INV03221,65,2023-05-18,152.39
SAL00324,INV11971,75,2023-04-22,454.52
SAL00325,INV12077,17,2023-08-15,392.16
SAL00326,INV01681,71,2025-11-05,292.58
SAL00327,INV05001,49,2025-02-02,169.91
SAL00328,INV10126,1,2021-04-21,451.88
SAL00329,INV07493,83,2024-10-11,127.77
SAL00330,INV02588,1,2024-08-31,458.35
SAL00331,INV00657,57,2024-08-16,452.3
SAL00332,INV00351,40,2021-07-21,415.36
SAL00333,INV04373,36,2021-05-05,113.7
SAL00334,INV07768,66,2023-04-05,306.42
SAL00335,INV08923,4,2025-01-31,251.05
SAL00336,INV04196,94,2022-11-26,220.63
SAL00337,INV06634,62,2025-06-28,473.32
SAL00338,INV03751,68,2025-10-31,193.03
SAL00339,INV01802,8,2021-08-12,244.06
SAL00340,INV09268,49,2022-05-25,295.31
SAL00341,INV08189,83,2022-01-28,116.9
SAL00342,INV02173,27,2022-01-25,460.4
SAL00343,INV11894,62,2024-01-04,407.35
SAL00344,INV14154,74,2023-07-08,26.84
SAL00345,INV07138,81,2021-10-15,171.13
SAL00346,INV01104,2,2023-05-15,374.63
SAL00347,INV11834,89,2022-01-11,458.55
SAL00348,INV08334,41,2022-07-25,463.39
SAL00349,INV11359,92,2023-08-06,224.12
SAL00350,INV08838,95,2022-05-27,411.43
SAL00351,INV11934,6,2025-11-26,390.67
SAL00352,INV13844,51,2021-06-04,302.35
SAL00353,INV06452,47,2023-06-27,245.77
SAL00354,INV14732,36,2025-07-13,499.57
SAL00355,INV11035,56,2025-10-31,308.58
SAL00356,INV07235,59,2025-10-20,262.74
SAL00357,INV04351,58,2024-02-02,460.07
SAL00358,INV05142,71,2021-07-20,397.66
SAL00359,INV10603,1,2021-04-14,148.02
SAL00360,INV10861,43,2024-08-28,191.0
SAL00361,INV10494,63,2024-01-13,203.68
SAL00362,INV02840,29,2025-09-09,272.1
SAL00363,INV06745,50,2021-01-31,166.91
SAL00364,INV09609,55,2021-07-11,463.22
SAL00365,INV07897,71,2025-03-24,493.66
SAL00366,INV10844,3,2025-10-05,367.28
SAL00367,INV05113,93,2022-04-30,314.63
SAL00368,INV02425,98,2021-12-07,386.19
SAL00369,INV02768,11,2023-04-13,181.54
SAL00370,INV11772,80,2023-09-22,61.68
SAL00371,INV02049,91,2023-09-13,284.99
SAL00372,INV08897,64,2022-03-14,38.6
SAL00373,INV14115,92,2025-11-06,412.67
SAL00374,INV07384,11,2023-04-02,348.64
SAL00375,INV01011,49,2021-05-01,462.99
SAL00376,INV05402,84,2021-12-04,45.63
SAL00377,INV00172,98,2023-02-16,197.35
SAL00378,INV07320,63,2021-01-05,114.76
SAL00379,INV12226,72,2023-03-11,69.91
SAL00380,INV06850,64,2022-06-28,11.85
SAL00381,INV10530,49,2025-05-25,269.63
SAL00382,INV13134,72,2025-05-27,180.87
SAL00383,INV07417,12,2023-07-21,192.27
SAL00384,INV04403,90,2022-08-08,24.27
SAL00385,INV05427,84,2023-05-17,491.33
SAL00386,INV06221,85,2024-11-27,392.79
SAL00387,INV06296,21,2025-02-05,403.64
SAL00388,INV10954,26,2025-05-24,292.69
SAL00389,INV10863,2,2024-02-13,376.4
SAL00390,INV10545,48,2024-09-17,54.3
SAL00391,INV06638,48,2025-01-11,471.35
SAL00392,INV02152,8,2023-09-24,231.78
SAL00393,INV03553,62,2021-11-14,238.5
SAL00394,INV00713,80,2022-01-24,191.45
SAL00395,INV05633,65,2022-08-31,254.6
SAL00396,INV11642,50,2022-03-22,154.39
SAL00397,INV14277,67,2021-04-30,221.74
SAL00398,INV07324,43,2024-04-01,377.36
SAL00399,INV02130,52,2025-02-15,332.55
SAL00400,INV00049,84,2024-01-16,357.03
SAL00401,INV10267,38,2021-05-05,195.55
SAL00402,INV11675,35,2025-03-12,452.32
SAL00403,INV13196,55,2022-10-05,124.77
SAL00404,INV01300,16,2021-04-28,72.22
SAL00405,INV14874,14,2021-04-13,498.39
SAL00406,INV13115,41,2024-04-11,147.1
SAL00407,INV05478,73,2023-09-04,294.97
SAL00408,INV00381,42,2023-10-27,133.21
SAL00409,INV06855,48,2025-10-13,243.85
SAL00410,INV13581,12,2023-12-24,216.18
SAL00411,INV03036,45,2021-11-19,471.85
SAL00412,INV11585,80,2021-04-27,266.48
SAL00413,INV07622,42,2023-11-07,26.91
SAL00414,INV07872,70,2021-06-14,55.18
SAL00415,INV00091,71,2025-10-10,182.16
SAL00416,INV10521,73,2022-01-16,109.2
SAL00417,INV10828,4,2021-05-21,305.43
SAL00418,INV06919,18,2024-05-03,198.24
SAL00419,INV00713,76,2021-05-20,339.88
SAL00420,INV02089,19,2024-10-14,238.63
SAL00421,INV03267,53,2025-11-01,407.62
SAL00422,INV03829,87,2022-04-27,300.14
SAL00423,INV10348,55,2023-04-07,181.36
SAL00424,INV01269,13,2021-09-03,371.81
SAL00425,INV11777,2,2025-12-29,460.22
SAL00426,INV02514,78,2024-03-12,492.06
SAL00427,INV11238,78,2022-05-20,492.55
SAL00428,INV12795,86,2024-03-31,419.32
SAL00429,INV02857,73,2024-05-02,255.26
SAL00430,INV09989,95,2021-03-23,210.73
SAL00431,INV08345,96,2024-06-22,99.04
SAL00432,INV09272,69,2021-06-17,344.3
SAL00433,INV04632,77,2023-05-09,78.86
SAL00434,INV07889,58,2024-09-08,53.24
SAL00435,INV05984,51,2024-04-10,173.43
SAL00436,INV09507,91,2024-03-03,255.43
SAL00437,INV03006,31,2023-12-07,325.95
SAL00438,INV14694,12,2022-10-10,107.16
SAL00439,INV07239,81,2022-06-19,454.57
SAL00440,INV09331,35,2022-02-23,491.13
SAL00441,INV07891,63,2024-10-03,54.73
SAL00442,INV12573,76,2025-01-06,435.03
SAL00443,INV08519,15,2022-10-06,466.7
SAL00444,INV14152,46,2022-05-04,13.0
SAL00445,INV14100,89,2022-06-28,82.25
SAL00446,INV12847,38,2023-03-22,469.91
SAL00447,INV00843,51,2021-09-26,373.27
SAL00448,INV05558,72,2024-10-07,56.58
SAL00449,INV07901,31,2024-08-14,39.8
SAL00450,INV14938,49,2022-09-07,131.0
SAL00451,INV06616,22,2023-07-26,436.77
SAL00452,INV05052,48,2022-10-10,473.96
SAL00453,INV03085,97,2025-03-20,315.93
SAL00454,INV04542,35,2021-05-29,412.19
SAL00455,INV03909,37,2021-01-20,133.9
SAL00456,INV03182,31,2023-07-28,292.0
SAL00457,INV11928,57,2024-06-26,125.31
SAL00458,INV09005,15,2024-02-28,215.94
SAL00459,INV09187,79,2021-07-24,367.96
SAL00460,INV09340,98,2021-05-31,40.17
SAL00461,INV04279,49,2024-01-07,378.59
SAL00462,INV01159,75,2022-03-13,433.37
SAL00463,INV04407,25,2023-11-03,420.06
SAL00464,INV11856,94,2022-06-28,99.15
SAL00465,INV05922,4,2021-09-29,131.41
SAL00466,INV13265,68,2022-12-16,163.49
SAL00467,INV04326,46,2025-12-10,348.58
SAL00468,INV03982,37,2021-05-21,422.77
SAL00469,INV03923,37,2025-12-06,395.88
SAL00470,INV08265,22,2022-05-16,37.36
SAL00471,INV07755,9,2023-01-27,107.1
SAL00472,INV02680,48,2022-08-07,405.18
SAL00473,INV08907,87,2021-11-20,444.89
SAL00474,INV10649,95,2023-06-17,80.76
SAL00475,INV08298,70,2025-09-04,158.64
SAL00476,INV01507,91,2024-01-18,133.31
SAL00477,INV01910,92,2024-12-11,413.24
SAL00478,INV00973,12,2022-09-12,483.55
SAL00479,INV13942,15,2024-06-06,360.28
SAL00480,INV00009,47,2025-07-11,142.98
SAL00481,INV00126,55,2024-09-01,426.04
SAL00482,INV01460,4,2023-12-20,436.53
SAL00483,INV04944,65,2021-01-17,482.28
SAL00484,INV09742,56,2024-09-29,171.16
SAL00485,INV05070,65,2025-08-01,119.87
SAL00486,INV09038,41,2024-02-10,20.42
SAL00487,INV08991,96,2022-09-06,291.26
SAL00488,INV02170,51,2024-09-20,27.29
SAL00489,INV11753,57,2021-08-01,40.83
SAL00490,INV09835,52,2025-12-04,21.83
SAL00491,INV14586,31,2021-10-03,329.86
SAL00492,INV12084,93,2022-06-26,186.87
SAL00493,INV08336,97,2021-08-25,445.31
SAL00494,INV05157,22,2025-12-28,250.52
SAL00495,INV14966,33,2021-08-08,173.41
SAL00496,INV09998,76,2025-03-01,459.7
SAL00497,INV06561,87,2024-02-08,425.37
SAL00498,INV04916,49,2021-11-15,480.26
SAL00499,INV09783,60,2022-07-12,101.47
SAL00500,INV07509,38,2022-08-01,369.73
SAL00501,INV10900,49,2024-05-23,301.33
SAL00502,INV05645,98,2022-03-08,39.76
SAL00503,INV14203,69,2025-01-09,338.11
SAL00504,INV08262,55,2022-12-04,398.52
SAL00505,INV03335,49,2022-02-21,71.49
SAL00506,INV00988,77,2024-11-08,406.42
SAL00507,INV06874,41,2024-07-22,47.61
SAL00508,INV06389,14,2025-10-13,98.65
SAL00509,INV05642,61,2022-06-25,478.43
SAL00510,INV03576,63,2023-11-02,13.22
SAL00511,INV07870,97,2023-09-28,127.81
SAL00512,INV12231,38,2022-05-30,211.77
SAL00513,INV04550,52,2025-09-29,214.1
SAL00514,INV02909,84,2021-04-15,249.85
SAL00515,INV14569,49,2021-07-09,309.16
SAL00516,INV00387,18,2024-07-23,317.43
SAL00517,INV08893,91,2023-05-18,28.4
SAL00518,INV08741,90,2025-08-26,159.12
SAL00519,INV04786,2,2022-07-21,47.81
SAL00520,INV04479,60,2021-04-01,264.25
SAL00521,INV06103,61,2021-01-08,243.46
SAL00522,INV01816,62,2022-11-15,274.1
SAL00523,INV14314,57,2025-04-29,420.4
SAL00524,INV12135,92,2021-09-25,162.67
SAL00525,INV10842,21,2024-07-28,137.4
SAL00526,INV14584,19,2022-06-21,68.72
SAL00527,INV00751,41,2021-11-27,67.23
SAL00528,INV10880,22,2025-02-27,242.51
SAL00529,INV02884,75,2023-06-24,412.83
SAL00530,INV01070,21,2024-02-04,116.84
SAL00531,INV05923,7,2024-12-16,59.29
SAL00532,INV14137,9,2023-05-26,422.05
SAL00533,INV01902,98,2024-02-23,183.02
SAL00534,INV05906,93,2021-01-20,306.44
SAL00535,INV05955,11,2021-08-18,47.23
SAL00536,INV06700,97,2021-06-04,284.48
SAL00537,INV13924,66,2025-12-14,498.12
SAL00538,INV14161,61,2024-11-16,249.4
SAL00539,INV14201,83,2021-11-02,291.77
SAL00540,INV13302,76,2024-01-23,192.56
SAL00541,INV03218,33,2021-03-15,249.26
SAL00542,INV08576,6,2025-09-06,411.76
SAL00543,INV05137,20,2023-01-27,173.81
SAL00544,INV11857,12,2024-04-07,99.55
SAL00545,INV12290,96,2024-02-06,132.07
SAL00546,INV00019,64,2021-10-31,35.66
SAL00547,INV11108,27,2023-05-31,420.62
SAL00548,INV13170,80,2021-09-19,304.86
SAL00549,INV01401,53,2021-03-27,47.15
SAL00550,INV09543,20,2022-09-24,215.39
SAL00551,INV13884,61,2023-01-17,137.98
SAL00552,INV04226,72,2025-06-19,189.88
SAL00553,INV13642,8,2025-10-29,308.13
SAL00554,INV04874,59,2021-03-23,462.63
SAL00555,INV09034,39,2023-01-03,267.44
SAL00556,INV01977,9,2022-03-07,182.3
SAL00557,INV11209,81,2024-10-28,480.98
SAL00558,INV11522,52,2022-05-27,476.17
SAL00559,INV01000,21,2024-09-27,55.86
SAL00560,INV08036,6,2021-07-30,329.6
SAL00561,INV00705,43,2022-12-26,208.05
SAL00562,INV04803,15,2025-05-17,467.84
SAL00563,INV02022,83,2024-02-21,498.38
SAL00564,INV02662,9,2025-12-16,314.18
SAL00565,INV08792,84,2025-11-27,22.85
SAL00566,INV04970,40,2023-04-13,315.96
SAL00567,INV10797,50,2024-06-25,217.49
SAL00568,INV02816,67,2025-03-15,168.72
SAL00569,INV12094,76,2021-11-13,222.9
SAL00570,INV05960,96,2022-04-30,339.76
SAL00571,INV11143,40,2025-11-06,357.87
SAL00572,INV09463,80,2021-11-29,494.6
SAL00573,INV11689,69,2025-06-27,298.35
SAL00574,INV01855,76,2025-07-19,34.42
SAL00575,INV13734,7,2021-12-29,207.45
SAL00576,INV02830,92,2025-12-11,434.48
SAL00577,INV01371,32,2023-04-25,54.59
SAL00578,INV14763,92,2021-02-20,205.83
SAL00579,INV03547,98,2022-01-03,136.5
SAL00580,INV02863,41,2025-02-17,235.51
SAL00581,INV04807,88,2022-11-12,383.61
