InventoryID,SupplyID,QuantityAvailable,InventoryDate
INV00060,SUP08659,232,2021-03-30
INV00061,SUP19724,125,2025-02-03
INV00062,SUP13841,269,2023-07-30
INV00063,SUP15593,318,2024-01-04
INV00064,SUP19680,131,2021-09-13
INV00065,SUP06819,200,2023-02-15
INV00066,SUP19481,237,2021-06-11
INV00067,SUP10281,184,2024-02-05
INV00068,SUP17021,353,2022-08-24
INV00069,SUP08209,336,2025-08-26
INV00070,SUP09220,250,2024-07-11
INV00071,SUP06610,39,2024-06-20
INV00072,SUP15072,326,2025-12-19
INV00073,SUP05206,47,2025-10-31
INV00074,SUP10874,90,2023-01-11
INV00075,SUP02996,81,2024-03-28
INV00076,SUP05364,10,2022-01-29
INV00077,SUP16395,235,2024-12-13
INV00078,SUP17900,191,2021-05-23
INV00079,SUP03313,81,2021-04-04
INV00080,SUP16385,288,2024-09-16
INV00081,SUP01766,12,2022-04-12
INV00082,SUP13140,196,2025-05-03
INV00083,SUP03063,183,2022-08-16
INV00084,SUP13803,193,2021-06-13
INV00085,SUP04560,274,2025-10-18
INV00086,SUP19281,183,2022-04-22
INV00087,SUP17097,54,2025-11-10
INV00088,SUP10480,84,2021-07-26
INV00089,SUP15208,354,2023-02-18
INV00090,SUP09291,282,2022-07-24
INV00091,SUP02562,172,2023-07-18
INV00092,SUP04811,291,2024-07-25
INV00093,SUP13136,221,2025-09-05
INV00094,SUP17572,63,2023-01-18
INV00095,SUP18416,325,2021-11-30
INV00096,SUP08455,323,2023-01-29
INV00097,SUP06027,388,2022-12-29
INV00098,SUP10624,183,2022-03-06
INV00099,SUP10325,217,2024-10-04
INV00100,SUP07191,40,2022-07-01
INV00101,SUP15457,93,2024-12-08
INV00102,SUP06016,119,2024-10-31
INV00103,SUP13304,117,2024-08-20
INV00104,SUP08758,307,2021-05-27
INV00105,SUP01288,342,2024-06-01
INV00106,SUP10576,244,2024-07-24
INV00107,SUP05896,74,2021-12-17
INV00108,SUP05004,294,2023-12-30
INV00109,SUP16700,394,2025-02-02
INV00110,SUP12522,215,2022-05-17
INV00111,SUP03340,313,2021-12-01
INV00112,SUP09067,22,2023-08-05
INV00113,SUP16226,319,2023-02-17
INV00114,SUP19804,190,2022-07-07
INV00115,SUP03794,111,2024-08-03
INV00116,SUP12329,381,2024-11-10
INV00117,SUP09827,389,2024-02-15
INV00118,SUP10376,257,2022-03-26
INV00119,SUP19106,360,2024-11-03
INV00120,SUP00514,35,2022-10-27
INV00121,SUP07273,338,2025-09-23
INV00122,SUP14235,40,2025-04-23
INV00123,SUP07474,98,2025-05-09
INV00124,SUP18397,212,2021-04-25
INV00125,SUP15494,138,2022-04-15
INV00126,SUP09395,361,2025-08-11
INV00127,SUP11860,183,2021-03-07
INV00128,SUP18102,201,2025-07-07
INV00129,SUP19708,188,2022-10-09
INV00130,SUP17927,204,2023-04-02
INV00131,SUP04909,92,2022-07-03
INV00132,SUP16996,158,2021-05-16
INV00133,SUP07173,341,2022-03-09
INV00134,SUP12782,360,2024-03-07
INV00135,SUP06593,65,2025-11-30
INV00136,SUP18283,85,2025-01-10
INV00137,SUP09824,184,2022-10-07
INV00138,SUP10026,223,2022-03-12
INV00139,SUP03423,349,2024-09-04
INV00140,SUP14294,246,2023-10-20
INV00141,SUP18960,62,2023-03-22
INV00142,SUP06954,367,2025-12-17
INV00143,SUP15630,297,2024-08-09
INV00144,SUP05449,332,2023-07-29
INV00145,SUP00565,24,2021-10-20
INV00146,SUP05162,54,2022-06-27
INV00147,SUP08922,149,2021-10-13
INV00148,SUP18502,276,2022-05-21
INV00149,SUP07987,75,2025-03-06
INV00150,SUP14492,311,2024-02-24
INV00151,SUP19963,282,2024-01-09
INV00152,SUP15308,231,2022-06-23
INV00153,SUP18753,17,2025-03-10
INV00154,SUP02019,72,2024-04-12
INV00155,SUP12114,37,2023-05-28
INV00156,SUP06539,84,2024-04-10
INV00157,SUP13031,22,2023-03-29
INV00158,SUP05032,257,2023-01-12
INV00159,SUP06760,48,2022-03-26
INV00160,SUP12510,140,2021-10-11
INV00161,SUP12478,87,2023-11-10
INV00162,SUP14476,61,2023-10-08
INV00163,SUP11824,95,2021-07-06
INV00164,SUP19031,222,2025-03-28
INV00165,SUP06933,248,2021-04-07
INV00166,SUP01542,364,2025-10-30
INV00167,SUP16975,149,2021-08-13
INV00168,SUP09211,309,2021-11-10
INV00169,SUP18402,153,2024-07-09
INV00170,SUP04069,318,2021-11-24
INV00171,SUP13135,147,2025-06-11
INV00172,SUP12273,104,2024-10-25
INV00173,SUP15933,207,2023-05-15
INV00174,SUP10581,202,2024-05-06
INV00175,SUP00971,141,2021-05-11
INV00176,SUP06737,319,2023-02-28
INV00177,SUP19811,63,2023-02-21
INV00178,SUP14118,73,2024-05-05
INV00179,SUP09152,111,2023-08-17
INV00180,SUP19410,27,2023-12-20
INV00181,SUP05904,279,2022-05-30
INV00182,SUP06584,268,2024-02-08
INV00183,SUP06517,262,2025-10-29
INV00184,SUP05331,41,2021-01-24
INV00185,SUP18827,251,2024-10-25
INV00186,SUP00536,213,2025-01-16
INV00187,SUP03819,135,2021-08-23
INV00188,SUP19349,254,2024-10-28
INV00189,SUP00899,310,2025-12-18
INV00190,SUP19025,55,2024-01-05
INV00191,SUP01810,53,2025-03-18
INV00192,SUP18230,181,2022-07-01
INV00193,SUP04666,32,2025-04-24
INV00194,SUP19587,386,2024-08-05
INV00195,SUP08137,94,2022-11-28
INV00196,SUP13356,285,2021-08-17
INV00197,SUP14546,68,2022-08-25
INV00198,SUP15936,178,2023-06-10
INV00199,SUP05012,96,2021-11-20
INV00200,SUP04343,127,2023-07-19
INV00201,SUP17893,26,2021-01-07
INV00202,SUP18025,60,2025-01-18
INV00203,SUP14197,119,2025-11-29
INV00204,SUP19675,40,2025-01-13
INV00205,SUP06549,127,2022-06-24
INV00206,SUP06532,192,2023-10-23
INV00207,SUP05967,87,2025-04-10
INV00208,SUP11442,323,2022-01-01
INV00209,SUP16551,302,2023-11-06
INV00210,SUP00470,113,2021-08-06
INV00211,SUP04133,360,2025-11-18
INV00212,SUP11828,358,2024-07-04
INV00213,SUP12384,149,2022-09-04
INV00214,SUP19361,289,2025-09-20
INV00215,SUP00142,169,2024-08-01
INV00216,SUP04434,103,2023-11-06
INV00217,SUP16153,41,2024-06-01
INV00218,SUP17044,185,2022-02-12
INV00219,SUP00140,202,2021-11-10
INV00220,SUP10975,364,2023-02-05
INV00221,SUP14865,148,2025-04-11
INV00222,SUP10827,122,2021-11-27
INV00223,SUP05883,147,2024-01-10
INV00224,SUP09729,353,2025-05-14
INV00225,SUP02149,361,2023-12-23
INV00226,SUP06836,365,2021-01-02
INV00227,SUP15254,37,2024-05-11
INV00228,SUP12246,318,2022-10-26
INV00229,SUP13672,339,2023-09-28
INV00230,SUP11337,76,2021-02-09
INV00231,SUP00679,72,2021-08-18
INV00232,SUP04750,238,2023-01-14
INV00233,SUP14292,113,2025-12-05
INV00234,SUP18381,75,2025-08-31
INV00235,SUP02189,56,2025-07-11
INV00236,SUP03312,336,2022-09-22
INV00237,SUP03742,67,2022-05-06
INV00238,SUP07168,364,2021-04-29
INV00239,SUP05755,288,2022-05-09
INV00240,SUP16503,303,2025-12-04
INV00241,SUP05538,223,2024-03-07
INV00242,SUP16969,316,2021-06-11
INV00243,SUP04716,358,2021-06-25
INV00244,SUP01737,395,2025-02-07
INV00245,SUP08483,138,2023-09-23
INV00246,SUP03675,396,2025-07-30
INV00247,SUP19673,339,2021-05-22
INV00248,SUP04478,73,2025-04-07
INV00249,SUP04755,307,2023-12-27
INV00250,SUP14342,132,2025-04-18
INV00251,SUP01361,292,2021-09-15
INV00252,SUP06921,218,2021-09-20
INV00253,SUP09118,355,2024-09-13
INV00254,SUP01978,190,2023-09-01
INV00255,SUP05226,154,2024-01-31
INV00256,SUP06951,360,2021-12-05
INV00257,SUP04260,319,2022-06-27
INV00258,SUP14513,335,2023-12-17
INV00259,SUP19690,186,2025-11-22
INV00260,SUP19411,346,2024-05-27
INV00261,SUP08498,184,2023-05-17
INV00262,SUP17144,19,2022-03-10
INV00263,SUP02690,298,2024-01-10
INV00264,SUP06825,241,2025-03-27
INV00265,SUP07810,218,2025-02-03
INV00266,SUP19125,389,2024-11-13
INV00267,SUP02489,202,2022-02-16
INV00268,SUP17231,207,2024-12-31
INV00269,SUP08326,343,2022-10-01
INV00270,SUP01007,25,2023-03-29
INV00271,SUP11640,95,2024-10-07
INV00272,SUP06766,165,2024-08-23
INV00273,SUP03314,236,2023-02-04
INV00274,SUP19714,378,2023-06-17
INV00275,SUP14142,34,2023-11-26
INV00276,SUP00538,218,2023-07-14
INV00277,SUP02943,357,2021-09-05
INV00278,SUP10533,127,2022-05-23
INV00279,SUP07239,128,2022-04-06
INV00280,SUP03706,112,2021-05-12
INV00281,SUP01610,382,2022-11-24
INV00282,SUP08472,68,2021-02-13
INV00283,SUP10116,163,2024-04-19
INV00284,SUP07675,167,2024-02-09
INV00285,SUP19896,122,2022-04-17
INV00286,SUP10385,78,2024-04-20
INV00287,SUP14314,309,2022-03-28
INV00288,SUP04068,264,2021-01-15
INV00289,SUP06426,158,2021-05-26
INV00290,SUP00345,318,2024-12-20
INV00291,SUP12772,84,2024-07-16
INV00292,SUP17536,281,2021-05-01
INV00293,SUP06335,106,2022-04-14
INV00294,SUP13190,157,2021-05-19
INV00295,SUP07639,184,2021-03-06
INV00296,SUP15397,120,2025-10-27
INV00297,SUP07609,335,2022-11-08
INV00298,SUP09332,118,2021-05-26
INV00299,SUP00922,229,2023-11-19
INV00300,SUP19543,253,2022-05-03
INV00301,SUP06985,91,2022-07-25
INV00302,SUP05582,332,2024-10-02
INV00303,SUP19043,40,2023-09-22
INV00304,SUP05175,307,2022-03-15
INV00305,SUP13379,320,2024-01-10
INV00306,SUP02940,52,2021-09-28
INV00307,SUP06911,75,2025-01-21
INV00308,SUP02310,259,2025-12-13
INV00309,SUP07530,65,2024-03-15
INV00310,SUP12151,356,2024-03-26
INV00311,SUP19311,256,2023-08-27
INV00312,SUP02350,153,2022-05-13
INV00313,SUP10527,19,2025-05-26
INV00314,SUP19421,229,2023-08-27
INV00315,SUP03453,132,2025-07-12
INV00316,SUP17354,37,2023-04-14
INV00317,SUP16362,286,2022-01-25
INV00318,SUP06188,93,2021-07-13
INV00319,SUP10307,308,2021-07-18
INV00320,SUP05434,131,2024-09-11
INV00321,SUP05093,60,2023-06-02
INV00322,SUP15933,96,2022-12-27
INV00323,SUP19947,86,2023-05-18
INV00324,SUP18358,171,2023-04-22
INV00325,SUP19401,186,2023-08-15
INV00326,SUP05383,245,2025-11-05
INV00327,SUP15053,94,2025-02-02
INV00328,SUP05438,123,2021-04-21
INV00329,SUP12721,42,2024-10-11
INV00330,SUP18246,267,2024-08-31
INV00331,SUP04226,101,2024-08-16
INV00332,SUP02706,279,2021-07-21
INV00333,SUP00827,227,2021-05-05
INV00334,SUP19154,388,2023-04-05
INV00335,SUP14136,216,2025-01-31
INV00336,SUP08626,240,2022-11-26
INV00337,SUP13057,218,2025-06-28
INV00338,SUP17408,31,2025-10-31
INV00339,SUP07874,309,2021-08-12
INV00340,SUP17742,155,2022-05-25
INV00341,SUP00814,176,2022-01-28
INV00342,SUP03054,246,2022-01-25
INV00343,SUP11279,158,2024-01-04
INV00344,SUP10072,147,2023-07-08
INV00345,SUP04914,394,2021-10-15
INV00346,SUP00952,190,2023-05-15
INV00347,SUP00499,307,2022-01-11
INV00348,SUP11686,73,2022-07-25
INV00349,SUP02996,207,2023-08-06
INV00350,SUP08259,69,2022-05-27
INV00351,SUP11568,268,2025-11-26
INV00352,SUP09776,189,2021-06-04
INV00353,SUP06327,82,2023-06-27
INV00354,SUP10796,135,2025-07-13
INV00355,SUP00397,126,2025-10-31
INV00356,SUP04277,283,2025-10-20
INV00357,SUP12624,314,2024-02-02
INV00358,SUP16478,213,2021-07-20
INV00359,SUP02970,41,2021-04-14
INV00360,SUP11399,359,2024-08-28
INV00361,SUP01504,209,2024-01-13
INV00362,SUP15455,92,2025-09-09
INV00363,SUP14491,362,2021-01-31
INV00364,SUP05512,244,2021-07-11
INV00365,SUP17428,233,2025-03-24
INV00366,SUP17685,131,2025-10-05
INV00367,SUP08421,195,2022-04-30
INV00368,SUP17967,73,2021-12-07
INV00369,SUP09348,135,2023-04-13
INV00370,SUP18380,167,2023-09-22
INV00371,SUP17843,257,2023-09-13
INV00372,SUP00824,355,2022-03-14
INV00373,SUP00287,205,2025-11-06
INV00374,SUP04796,139,2023-04-02
INV00375,SUP01785,11,2021-05-01
INV00376,SUP07211,124,2021-12-04
INV00377,SUP04338,284,2023-02-16
INV00378,SUP12296,43,2021-01-05
INV00379,SUP05876,318,2023-03-11
INV00380,SUP04522,253,2022-06-28
INV00381,SUP15260,163,2025-05-25
INV00382,SUP07576,182,2025-05-27
INV00383,SUP10656,321,2023-07-21
INV00384,SUP08677,343,2022-08-08
INV00385,SUP09452,160,2023-05-17
INV00386,SUP06910,167,2024-11-27
INV00387,SUP10789,317,2025-02-05
INV00388,SUP01307,339,2025-05-24
INV00389,SUP09875,41,2024-02-13
INV00390,SUP06551,198,2024-09-17
INV00391,SUP01166,297,2025-01-11
INV00392,SUP03778,368,2023-09-24
INV00393,SUP03210,100,2021-11-14
INV00394,SUP13454,331,2022-01-24
INV00395,SUP18993,219,2022-08-31
INV00396,SUP11639,350,2022-03-22
INV00397,SUP04817,120,2021-04-30
INV00398,SUP17069,168,2024-04-01
INV00399,SUP10704,117,2025-02-15
INV00400,SUP05661,117,2024-01-16
INV00401,SUP08258,363,2021-05-05
INV00402,SUP04525,281,2025-03-12
INV00403,SUP01796,125,2022-10-05
INV00404,SUP18412,244,2021-04-28
INV00405,SUP13066,315,2021-04-13
INV00406,SUP13853,161,2024-04-11
INV00407,SUP09881,301,2023-09-04
INV00408,SUP12369,334,2023-10-27
INV00409,SUP14436,297,2025-10-13
INV00410,SUP11555,92,2023-12-24
INV00411,SUP13712,288,2021-11-19
INV00412,SUP12327,312,2021-04-27
INV00413,SUP09749,274,2023-11-07
INV00414,SUP02081,346,2021-06-14
INV00415,SUP19629,360,2025-10-10
INV00416,SUP05198,184,2022-01-16
INV00417,SUP03005,86,2021-05-21
INV00418,SUP14474,25,2024-05-03
INV00419,SUP00098,372,2021-05-20
INV00420,SUP19577,395,2024-10-14
INV00421,SUP15185,218,2025-11-01
INV00422,SUP02289,328,2022-04-27
INV00423,SUP08690,139,2023-04-07
INV00424,SUP00220,326,2021-09-03
INV00425,SUP18303,155,2025-12-29
INV00426,SUP17328,247,2024-03-12
INV00427,SUP11188,221,2022-05-20
INV00428,SUP10649,11,2024-03-31
INV00429,SUP04464,324,2024-05-02
INV00430,SUP15150,22,2021-03-23
INV00431,SUP04877,83,2024-06-22
INV00432,SUP10957,174,2021-06-17
INV00433,SUP07964,192,2023-05-09
INV00434,SUP06053,190,2024-09-08
INV00435,SUP01042,335,2024-04-10
INV00436,SUP06307,260,2024-03-03
INV00437,SUP15342,375,2023-12-07
INV00438,SUP07149,227,2022-10-10
INV00439,SUP17592,105,2022-06-19
INV00440,SUP01603,210,2022-02-23
INV00441,SUP15850,378,2024-10-03
INV00442,SUP18632,389,2025-01-06
INV00443,SUP13162,227,2022-10-06
INV00444,SUP16512,44,2022-05-04
INV00445,SUP04629,210,2022-06-28
INV00446,SUP06911,255,2023-03-22
INV00447,SUP14276,266,2021-09-26
INV00448,SUP02735,221,2024-10-07
INV00449,SUP00950,24,2024-08-14
INV00450,SUP08777,149,2022-09-07
INV00451,SUP03310,228,2023-07-26
INV00452,SUP01761,358,2022-10-10
INV00453,SUP14941,171,2025-03-20
INV00454,SUP03259,139,2021-05-29
INV00455,SUP12591,133,2021-01-20
INV00456,SUP00836,337,2023-07-28
INV00457,SUP02139,96,2024-06-26
INV00458,SUP18802,375,2024-02-28
INV00459,SUP05768,139,2021-07-24
INV00460,SUP09121,311,2021-05-31
INV00461,SUP14599,241,2024-01-07
INV00462,SUP00102,69,2022-03-13
INV00463,SUP10871,269,2023-11-03
INV00464,SUP16689,380,2022-06-28
INV00465,SUP19682,29,2021-09-29
INV00466,SUP14664,265,2022-12-16
INV00467,SUP12068,101,2025-12-10
INV00468,SUP00445,26,2021-05-21
INV00469,SUP16332,143,2025-12-06
INV00470,SUP13791,239,2022-05-16
INV00471,SUP04248,42,2023-01-27
INV00472,SUP17294,339,2022-08-07
INV00473,SUP08150,359,2021-11-20
INV00474,SUP02251,355,2023-06-17
INV00475,SUP06316,35,2025-09-04
INV00476,SUP15797,138,2024-01-18
INV00477,SUP16944,270,2024-12-11
INV00478,SUP07547,89,2022-09-12
INV00479,SUP01480,195,2024-06-06
INV00480,SUP15955,78,2025-07-11
INV00481,SUP17211,318,2024-09-01
INV00482,SUP14063,305,2023-12-20
INV00483,SUP19055,343,2021-01-17
INV00484,SUP14299,263,2024-09-29
INV00485,SUP09549,269,2025-08-01
INV00486,SUP15067,243,2024-02-10
INV00487,SUP08305,207,2022-09-06
INV00488,SUP01138,91,2024-09-20
INV00489,SUP18440,375,2021-08-01
INV00490,SUP09541,297,2025-12-04
INV00491,SUP15903,321,2021-10-03
INV00492,SUP05891,93,2022-06-26
INV00493,SUP00069,274,2021-08-25
INV00494,SUP01861,82,2025-12-28
INV00495,SUP01763,378,2021-08-08
INV00496,SUP09981,323,2025-03-01
INV00497,SUP10677,239,2024-02-08
INV00498,SUP08290,393,2021-11-15
INV00499,SUP05594,105,2022-07-12
INV00500,SUP09113,314,2022-08-01
INV00501,SUP09547,54,2024-05-23
INV00502,SUP18982,235,2022-03-08
INV00503,SUP15348,93,2025-01-09
INV00504,SUP11992,306,2022-12-04
INV00505,SUP08869,49,2022-02-21
INV00506,SUP18918,52,2024-11-08
INV00507,SUP13706,155,2024-07-22
INV00508,SUP15033,244,2025-10-13
INV00509,SUP10272,134,2022-06-25
INV00510,SUP07714,299,2023-11-02
INV00511,SUP17145,371,2023-09-28
INV00512,SUP17559,50,2022-05-30
INV00513,SUP10582,192,2025-09-29
INV00514,SUP00619,160,2021-04-15
INV00515,SUP02791,68,2021-07-09
INV00516,SUP14880,211,2024-07-23
INV00517,SUP05032,318,2023-05-18
INV00518,SUP01452,168,2025-08-26
INV00519,SUP16403,182,2022-07-21
INV00520,SUP13328,183,2021-04-01
INV00521,SUP02429,278,2021-01-08
INV00522,SUP10806,115,2022-11-15
INV00523,SUP00778,287,2025-04-29
INV00524,SUP09118,392,2021-09-25
INV00525,SUP00857,35,2024-07-28
INV00526,SUP17592,399,2022-06-21
INV00527,SUP12701,380,2021-11-27
INV00528,SUP04061,87,2025-02-27
INV00529,SUP12619,371,2023-06-24
INV00530,SUP19452,80,2024-02-04
INV00531,SUP07780,307,2024-12-16
INV00532,SUP09509,108,2023-05-26
INV00533,SUP16125,107,2024-02-23
INV00534,SUP00682,119,2021-01-20
INV00535,SUP03219,308,2021-08-18
INV00536,SUP12185,344,2021-06-04
INV00537,SUP12107,262,2025-12-14
INV00538,SUP16188,15,2024-11-16
INV00539,SUP13863,346,2021-11-02
INV00540,SUP05900,337,2024-01-23
INV00541,SUP07105,365,2021-03-15
INV00542,SUP14192,45,2025-09-06
INV00543,SUP07530,357,2023-01-27
INV00544,SUP10398,382,2024-04-07
INV00545,SUP05865,151,2024-02-06
INV00546,SUP14153,240,2021-10-31
INV00547,SUP15856,239,2023-05-31
INV00548,SUP01267,185,2021-09-19
INV00549,SUP06158,288,2021-03-27
INV00550,SUP08850,298,2022-09-24
INV00551,SUP08797,355,2023-01-17
INV00552,SUP08962,279,2025-06-19
INV00553,SUP03977,335,2025-10-29
INV00554,SUP01737,267,2021-03-23
INV00555,SUP14243,171,2023-01-03
INV00556,SUP03232,31,2022-03-07
INV00557,SUP00995,234,2024-10-28
INV00558,SUP15168,254,2022-05-27
INV00559,SUP02660,240,2024-09-27
INV00560,SUP17210,206,2021-07-30
INV00561,SUP08487,67,2022-12-26
INV00562,SUP11919,315,2025-05-17
INV00563,SUP12408,282,2024-02-21
INV00564,SUP13151,220,2025-12-16
INV00565,SUP00332,397,2025-11-27
INV00566,SUP19440,293,2023-04-13
INV00567,SUP17181,240,2024-06-25
INV00568,SUP15205,319,2025-03-15
INV00569,SUP16662,236,2021-11-13
INV00570,SUP05658,144,2022-04-30
INV00571,SUP14464,144,2025-11-06
INV00572,SUP01016,44,2021-11-29
INV00573,SUP18446,88,2025-06-27
INV00574,SUP11391,27,2025-07-19
INV00575,SUP10627,275,2021-12-29
INV00576,SUP12518,33,2025-12-11
INV00577,SUP12474,314,2023-04-25
INV00578,SUP01892,222,2021-02-20
INV00579,SUP14767,269,2022-01-03
INV00580,SUP05850,50,2025-02-17
INV00581,SUP03115,399,2022-11-12
INV00582,SUP18485,132,2025-05-22
INV00583,SUP11219,180,2023-04-24
INV00584,SUP08019,344,2025-07-01
INV00585,SUP11823,275,2024-10-03
INV00586,SUP00244,367,2025-11-05
INV00587,SUP08795,106,2025-02-14
INV00588,SUP17537,56,2025-07-19
INV00589,SUP18991,179,2022-05-24
INV00590,SUP12359,64,2022-07-01
INV00591,SUP04573,30,2021-11-23
INV00592,SUP01391,22,2025-06-01
INV00593,SUP00759,343,2024-12-07
INV00594,SUP13801,161,2021-08-10
INV00595,SUP16497,377,2023-02-23
INV00596,SUP15393,293,2025-11-22
INV00597,SUP16571,358,2021-03-21
INV00598,SUP00605,55,2025-10-25
INV00599,SUP19912,248,2023-08-22
INV00600,SUP06888,291,2022-04-01
INV00601,SUP12426,210,2022-02-13
INV00602,SUP04594,238,2025-07-31
INV00603,SUP04889,165,2023-08-01
INV00604,SUP18305,351,2022-12-18
INV00605,SUP14407,276,2022-09-18
INV00606,SUP05612,317,2025-08-08
INV00607,SUP06269,76,2025-06-17
INV00608,SUP06061,223,2025-11-20
INV00609,SUP09167,174,2022-04-12
INV00610,SUP05655,247,2022-04-02
INV00611,SUP13090,360,2021-02-18
INV00612,SUP15895,156,2024-09-13
INV00613,SUP11248,156,2022-01-31
INV00614,SUP19486,195,2023-03-28
INV00615,SUP16505,248,2022-11-04
INV00616,SUP03999,54,2022-07-25
INV00617,SUP07229,294,2025-11-06
INV00618,SUP19978,113,2021-05-23
INV00619,SUP05232,368,2025-05-03
INV00620,SUP13437,53,2022-07-26
INV00621,SUP10538,249,2022-12-21
INV00622,SUP15231,242,2024-08-06
INV00623,SUP01234,36,2023-11-10
INV00624,SUP08314,157,2023-03-30
INV00625,SUP16681,321,2024-10-23
INV00626,SUP10258,91,2025-09-24
INV00627,SUP09960,335,2024-01-04
INV00628,SUP07092,36,2022-11-10
INV00629,SUP14452,93,2021-02-26
INV00630,SUP11453,21,2021-08-25
INV00631,SUP07581,252,2025-12-02
INV00632,SUP15638,259,2022-06-19
INV00633,SUP14636,380,2022-01-01
INV00634,SUP02939,112,2024-04-04
INV00635,SUP07052,11,2022-06-28
INV00636,SUP00304,293,2021-03-20
INV00637,SUP16750,218,2021-08-11
INV00638,SUP08323,202,2024-05-06
INV00639,SUP13685,249,2023-06-09
INV00640,SUP12068,369,2022-12-09
INV00641,SUP03145,297,2025-02-01
INV00642,SUP17748,277,2025-05-30
INV00643,SUP04686,372,2022-10-05
INV00644,SUP11799,307,2023-06-13
INV00645,SUP10408,128,2024-05-26
INV00646,SUP03074,66,2023-11-14
INV00647,SUP16338,161,2021-08-25
INV00648,SUP01838,155,2023-02-28
INV00649,SUP18765,204,2024-03-26
INV00650,SUP09948,236,2022-01-25
INV00651,SUP09598,257,2022-06-06
INV00652,SUP16502,144,2021-04-01
INV00653,SUP17835,263,2024-12-22
INV00654,SUP08388,260,2023-06-13
INV00655,SUP11375,347,2021-01-04
INV00656,SUP17108,78,2023-12-01
INV00657,SUP04094,141,2025-07-10
INV00658,SUP07081,43,2024-01-08
INV00659,SUP07466,370,2024-11-07
INV00660,SUP01177,129,2025-01-13
INV00661,SUP07059,30,2025-02-28
INV00662,SUP05923,136,2025-02-18
INV00663,SUP03785,369,2024-10-05
INV00664,SUP15137,146,2022-02-08
INV00665,SUP13283,149,2023-01-16
INV00666,SUP07091,223,2023-06-03
INV00667,SUP10455,396,2021-05-24
INV00668,SUP14198,294,2024-09-22
INV00669,SUP11233,334,2022-11-08
INV00670,SUP11952,308,2024-06-30
INV00671,SUP06300,160,2022-10-05
INV00672,SUP18211,81,2024-09-20
INV00673,SUP06441,336,2025-10-03
INV00674,SUP14519,37,2021-09-13
INV00675,SUP00717,158,2025-01-14
INV00676,SUP14933,244,2022-09-08
INV00677,SUP15136,156,2023-11-05
INV00678,SUP05949,116,2022-09-26
INV00679,SUP01282,192,2024-09-27
INV00680,SUP17910,23,2023-04-17
INV00681,SUP10191,114,2022-10-31
INV00682,SUP09315,295,2023-04-05
INV00683,SUP10534,168,2024-11-28
INV00684,SUP19360,107,2022-08-29
INV00685,SUP07363,308,2024-02-10
INV00686,SUP18715,303,2021-09-18
INV00687,SUP00183,268,2022-01-28
INV00688,SUP13046,203,2023-05-12
INV00689,SUP07488,291,2024-09-23
INV00690,SUP15781,247,2023-02-16
INV00691,SUP04064,321,2024-10-19
INV00692,SUP19556,213,2025-03-13
INV00693,SUP15301,126,2021-12-23
INV00694,SUP01614,160,2024-06-14
INV00695,SUP15343,152,2024-03-11
INV00696,SUP07033,300,2022-09-09
INV00697,SUP03488,58,2023-04-12
